plot,general,lat,lon
SA01,molopo,-26.541707,23.872536
SA02,molopo,-25.355067,23.357971
SA03,molopo,-25.81435,22.83004
SA04,molopo,-26.554709,22.574614
SA05,mier,-26.272364,20.225565
SA06,mier,-26.663274,20.183135
SA07,mier,-26.78827,20.052831
SA08,mier,-26.872362,20.327152
SA09,kimberley,-28.587568,24.509352
SA10,kzn,-28.813779,29.366861
SA11,kzn,-27.508691,31.204048
SA12,kzn,-27.523342,31.373391
SA13,kzn,-28.39659,30.595081
SA14,kzn,-28.337367,30.666055
SA15,kzn,-28.349899,30.543555
