"station","general","lat","lon"
"GRAVELOTTE ARS","SAWS","-23.9494","30.6106"
"GREYTOWN","SAWS","-29.083","30.6"
"Gambos","SASSCAL","NA","NA"
"Ganab","SASSCAL","NA","NA"
"Ganda","SASSCAL","NA","NA"
"Garnet Koppie","SASSCAL","NA","NA"
"Gellap Ost","SASSCAL","NA","NA"
"Ghanzi","SASSCAL","NA","NA"
"Gobabeb Met","SASSCAL","NA","NA"
"Goodhope","SASSCAL","NA","NA"
"HARTEBEESPOORT DAM","SAWS","-25.7489","27.8303"
"HENNENMAN ARS","SAWS","-27.976","27.026"
"HERMANUS","SAWS","-34.4325","19.2247"
"HILLTOP RESEARCH ARS","SAWS","-28.0688","32.0343"
"HOEDSPRUIT","SAWS","-24.35","31.05"
"HOEDSPRUIT - MARULENG TESTING GROUNDS","SAWS","-24.3531","30.9536"
"HOEDSPRUIT AIR FORCE BASE","SAWS","-24.3526","31.0493"
"HOOPSTAD ARS","SAWS","-28.019","26.006"
"HOUTBAY FORESTRY ARS","SAWS","-34.029","18.358"
"Hamoye","SASSCAL","NA","NA"
"Humpata","SASSCAL","NA","NA"
"IRENE WO","SAWS","-25.9105","28.2106"
"IVORY PARK - ARS","SAWS","-25.9902","28.2016"
"IXOPO","SAWS","-30.1525","30.0747"
"JHB BOT TUINE","SAWS","-26.1566","27.9991"
"JOHANNESBURG INT WO","SAWS","-26.15","28.23"
"JOHANNESBURG SANDTON ARS","SAWS","-26.1024","28.069"
"JONKERSHOEK","SAWS","-33.9678","18.9222"
"JOUBERTINA AWS","SAWS","-33.8283","23.8586"
"JOUBERTINA SCHOOL AWS","SAWS","-33.8247","23.8606"
"John Pandeni","SASSCAL","NA","NA"
"KAMEELDRIFT ARS","SAWS","-25.6603","28.3144"
"KENILWORTH RACE COURSE ARS","SAWS","-33.998","18.481"
"KING SHAKA AWOS","SAWS","-29.6017","31.13"
"KING SHAKA INTERNATIONAL AIRPORT WO","SAWS","-29.6108","31.1239"
"KIRSTENBOSCH","SAWS","-33.9919","18.4328"
"KLIPPLAAT ARS","SAWS","-33.0167","24.2308"
"KNELLPOORTDAM","SAWS","-29.7861","26.9031"
"KOKSTAD","SAWS","-30.5014","29.3972"
"KOMATIDRAAI","SAWS","-25.5145","31.9103"
"KOSI BAY ARS","SAWS","-26.9564","32.8308"
"KRIEGERS KRAAL ARS","SAWS","-32.9619","25.9464"
"KRIEL ARS","SAWS","-26.267","29.233"
"KROONSTAD","SAWS","-27.6664","27.3136"
"KRUGER MPUMALANGA INT. AIR.","SAWS","-25.3877","31.0995"
"KRUGERSDRIFT DAM ARS","SAWS","-28.881","25.95"
"KRUGERWILDTUIN SHANGONI ARS","SAWS","-23.1688","30.9431"
"KWAMASHU W/W ARS","SAWS","-29.7292","31.0097"
"Kabwe Mulungushi","SASSCAL","NA","NA"
"Kalabo","SASSCAL","NA","NA"
"Kalahari","SASSCAL","NA","NA"
"Kalimbeza","SASSCAL","NA","NA"
"Karios (Gondwana Canyon Lodge)","SASSCAL","NA","NA"
"Kasempa","SASSCAL","NA","NA"
"Kibala (Catofe)","SASSCAL","NA","NA"
"Kleinberg","SASSCAL","NA","NA"
"Kleinberg-FN","SASSCAL","NA","NA"
"LADY GREY - IDEAL","SAWS","-30.8864","27.2344"
"LADYSMITH","SAWS","-28.567","29.767"
"LAMBERTSBAAI ARS","SAWS","-32.101","18.307"
"LAMBERTSBAAI NORTIER","SAWS","-32.0349","18.3325"
"LANGEBAANWEG - AAWS","SAWS","-32.979","18.164"
"LANGEBAANWEG AWS","SAWS","-32.9725","18.1578"
"LANGGEWENS","SAWS","-33.2764","18.7061"
"LANSERIA WO","SAWS","-25.9397","27.9256"
"LE LONG ARS","SAWS","-28.017","28.084"
"LEPHALALE","SAWS","-23.68","27.7"
"LESLIE LEANDRA ARS","SAWS","-26.3694","28.9222"
"LETABA REST CAMP ARS","SAWS","-23.8523","31.5736"
"LILLYDALE ARS","SAWS","-30.014","25.958"
"LINDLEYSPOORT","SAWS","-25.5022","26.6961"
"LYDENBURG","SAWS","-25.1119","30.4766"
"Lephepe","SASSCAL","NA","NA"
"Lusaka Int. Airport","SASSCAL","NA","NA"
"Lusaka University of Zambia","SASSCAL","NA","NA"
"MACHADODORP AWS","SAWS","-25.7161","30.2303"
"MADIKWE GAME RESERVE","SAWS","-24.6884","26.1964"
"MAFIKENG WO","SAWS","-25.8037","25.5428"
"MAGALIESBURG POLICE ARS","SAWS","-25.998","27.5386"
"MAKATINI RESEARCH CENTRE","SAWS","-27.3941","32.1769"
"MAKHADO AIR FORCE BASE","SAWS","-23.1586","29.6943"
"MALMESBURY","SAWS","-33.4725","18.7183"
"MANDINI","SAWS","-29.15","31.4"
"MANGONG ARS","SAWS","-24.9938","26.9898"
"MARGATE","SAWS","-30.85","30.333"
"MARICO","SAWS","-25.5","26.35"
"MARKEN","SAWS","-23.6","28.383"
"MARULENG-BOERSEUN BOERDERY ARS","SAWS","-24.0878","30.4058"
"MATATIELE","SAWS","-30.34","28.8039"
"MBAZWANA AIRFIELD","SAWS","-27.4772","32.5981"
"MBUZINI MONUMENT ARS","SAWS","-25.9156","31.9558"
"MIDDELBURG - TNK ARS","SAWS","-25.76","29.4614"
"MITCHELLS PLAIN WOLFGAT ARS","SAWS","-34.061","18.594"
"MODJADJI DAM ARS","SAWS","-23.5892","30.3525"
"MOKOPANE","SAWS","-24.2056","29.0117"
"MOLTENO RESERVOIR","SAWS","-33.9375","18.4108"
"MONTAGU - BADEN ARS","SAWS","-33.709","20.124"
"MOOI RIVER","SAWS","-29.2175","30.0025"
"MOUNT EDGECOMBE","SAWS","-29.7","31.05"
"MTUNZINI","SAWS","-28.95","31.7"
"MTUNZINI ARS","SAWS","-28.9472","31.7078"
"MUKUMBANI TEA ESTATE - VENDA","SAWS","-22.9167","30.4075"
"Mahalapye","SASSCAL","NA","NA"
"Mahenene","SASSCAL","NA","NA"
"Mannheim","SASSCAL","NA","NA"
"Marble Koppie","SASSCAL","NA","NA"
"Mashare","SASSCAL","NA","NA"
"Muconda","SASSCAL","NA","NA"
"Mukongo","SASSCAL","NA","NA"
"Mwinilunga","SASSCAL","NA","NA"
"NAGLE DAM ARS","SAWS","-29.5919","30.6228"
"NELSPRUIT","SAWS","-25.5","30.9166"
"NEWCASTLE","SAWS","-27.7689","29.9767"
"NGQURA (COEGA)","SAWS","-33.7966","25.6753"
"NIEUWOUDTVILLE","SAWS","-31.378","19.122"
"NOOITGEDACHT DAM - IRR ARS","SAWS","-25.9558","30.0833"
"Namibe","SASSCAL","NA","NA"
"Narais - Duruchaus","SASSCAL","NA","NA"
"Nation. Forestry Research Centre (NFRC)","SASSCAL","NA","NA"
"Ngoma","SASSCAL","NA","NA"
"Nico","SASSCAL","NA","NA"
"OLIFANTS CAMP ARS","SAWS","-24.0047","31.7399"
"ORIBI AIRPORT","SAWS","-29.65","30.4"
"OUDESTAD","SAWS","-25.18","29.33"
"Ogongo","SASSCAL","NA","NA"
"Okamboro","SASSCAL","NA","NA"
"Okapya","SASSCAL","NA","NA"
"Okashana","SASSCAL","NA","NA"
"Okomumbonde","SASSCAL","NA","NA"
"Omatako Ranch","SASSCAL","NA","NA"
"Omatjenne","SASSCAL","NA","NA"
"Oshaambelo","SASSCAL","NA","NA"
"PAARL","SAWS","-33.7217","18.9719"
"PADDOCK","SAWS","-30.7544","30.2578"
"PATENSIE","SAWS","-33.7653","24.8233"
"PENNINGTON SOUTH","SAWS","-30.3997","30.6858"
"PHALABORWA - GRIETJIE ARS","SAWS","-24.0986","30.9869"
"PHALABORWA AIRPORT AWS","SAWS","-23.9361","31.1547"
"PHELINDABA ARS","SAWS","-25.795","27.9197"
"PHITSHANE ARS","SAWS","-25.7487","25.0983"
"PIETERMARITZBURG","SAWS","-29.633","30.4"
"PIETERMARITZBURG - DARVILLE ARS","SAWS","-29.6","30.43"
"POLOKWANE WO","SAWS","-23.8576","29.4517"
"PONGOLA","SAWS","-27.4139","31.5917"
"PORT EDWARD","SAWS","-31.067","30.233"
"PORT ELIZABETH - COEGA RIVER LOWER ARS","SAWS","-33.7165","25.4864"
"PORT ELIZABETH - COEGA RIVER UPPER ARS","SAWS","-33.6663","25.4672"
"PORT ELIZABETH - FETTES ROAD","SAWS","-33.9425","25.6023"
"PORT ELIZABETH - MOTHERWELL","SAWS","-33.8032","25.6209"
"PORT ELIZABETH - RIVERSTONE BRIDGE ARS","SAWS","-33.949","25.4906"
"PORT ELIZABETH - SHARK ROCK PIER","SAWS","-33.9796","25.6598"
"PORT ELIZABETH AWS","SAWS","-33.9825","25.6136"
"PORT ELIZABETH WO","SAWS","-33.9844","25.6108"
"PORT ELIZABETH-BLOEMENDAL ARS","SAWS","-33.8667","25.454"
"PORT ELIZABETH-CHETTY FIRE STN ARS","SAWS","-33.857","25.5274"
"PORTERVILLE","SAWS","-33.0128","18.9772"
"POTCHEFSTROOM","SAWS","-26.7359","27.0755"
"POTCHEFSTROOM - KROMDRAAI ARS","SAWS","-26.8711","26.9266"
"PRETORIA - MOUNTAIN VIEW ARS","SAWS","-25.6994","28.1567"
"PRETORIA - PRESIDENCY ARS","SAWS","-25.7394","28.2325"
"PRETORIA - PURIFICATION","SAWS","-25.735","28.176"
"PRETORIA - RIETONDALE AGR ARS","SAWS","-25.7292","28.2361"
"PRETORIA EENDRACHT","SAWS","-25.7422","28.1833"
"PRETORIA MUSLIM SCHOOL ARS","SAWS","-25.7953","28.0939"
"PRETORIA UNISA","SAWS","-25.77","28.2"
"PRETORIA UNIVERSITY PROEFPLAAS","SAWS","-25.752","28.258"
"PUNDA MARIA","SAWS","-22.68","31.02"
"Pandamatenga","SASSCAL","NA","NA"
"RANDFONTEIN ARS","SAWS","-26.1411","27.6819"
"REDELINGSHUYS-AWS","SAWS","-32.4814","18.5369"
"RICHARDS BAY AIRPORT","SAWS","-28.73","32.08"
"RICHMOND ARS","SAWS","-29.8972","30.3069"
"RIVERVIEW","SAWS","-28.4439","32.182"
"ROBBENEILAND","SAWS","-33.7989","18.3744"
"ROBERTSON","SAWS","NA","NA"
"ROBERTSON - HEARTSTONE VINYARD ARS","SAWS","NA","NA"
"ROODEWAL BOS ARS","SAWS","-23","30.02"
"ROOIBULT ARS","SAWS","-27.019","27.969"
"ROYAL NATIONAL PARK","SAWS","-28.6858","28.9542"
"RUSTENBURG","SAWS","-25.65","27.233"
"Rooisand","SASSCAL","NA","NA"
"S A ASTRONOMICAL OBSERVATORY","SAWS","-33.935","18.4775"
"SALDANHA KUSPATROLLIE ARS","SAWS","-33.016","17.947"
"SECUNDA","SAWS","-26.4989","29.1878"
"SHALEBURN","SAWS","-29.7869","29.3525"
"SKUKUZA","SAWS","-24.9927","31.588"
"SOMERSET EAST","SAWS","-33.0497","25.7192"
"SOSHANGUVE (TSWAING)  ARS","SAWS","-25.4219","28.0794"
"SPRINGS","SAWS","-26.2058","28.4386"
"ST ALBANS PRISON ARS","SAWS","-33.9052","25.3453"
"STEENBOKFONTEIN ARS","SAWS","-24.0514","28.0878"
"STERKFONTEIN ARS","SAWS","-26.0175","27.7319"
"STORMRIVER - WITTEKLIP ARS","SAWS","-33.9531","23.8769"
"STORMRIVER FOREST FERN FARM ARS","SAWS","-34.0299","24.0035"
"STRAND","SAWS","-34.1411","18.8489"
"STRUISBAAI","SAWS","-34.8008","20.0589"
"SUTHERLAND","SAWS","-32.4","20.663"
"SWARTKLIP NOOITGEDACHT ARS","SAWS","-24.8919","27.1525"
"SWEETWATER ARS","SAWS","-29.91","26.992"
"SWELLENDAM","SAWS","-34.022","20.437"
"SWELLENDAM - MARLOTH ARS","SAWS","-34.005","20.44"
"SWELLENDAM - NAPKYSMOND ARS","SAWS","-34.22","20.514"
"Sachinga","SASSCAL","NA","NA"
"Samfya","SASSCAL","NA","NA"
"Sandveld","SASSCAL","NA","NA"
"Serenje","SASSCAL","NA","NA"
"Sesheke","SASSCAL","NA","NA"
"Shakawe","SASSCAL","NA","NA"
"Sonop Research Station","SASSCAL","NA","NA"
"Sophies Hoogte","SASSCAL","NA","NA"
"Sowa","SASSCAL","NA","NA"
"Station 8","SASSCAL","NA","NA"
"THABAZIMBI","SAWS","-24.5829","27.417"
"THABINA DAM ARS","SAWS","-24.0267","30.1764"
"THOHOYANDOU WO","SAWS","-23.0872","30.3844"
"TOM BURKE S.A.P.S. ARS","SAWS","-23.0694","27.9994"
"TOURS DAM ARS","SAWS","-24.0986","30.2586"
"TSHANOWA PRIMARY SCHOOL","SAWS","-22.9353","30.3667"
"TSHIVHASIE TEA VENDA","SAWS","-22.97","30.35"
"TSITSIKAMMA","SAWS","-34.0229","23.8986"
"TUGELA FERRY ARS","SAWS","-28.7464","30.445"
"TULBAGH - OBIQUA  ARS","SAWS","-33.275","19.146"
