plot,logger,serial,start,end
mmPutao,mmth,80081320906,*,*
mmZiadam,mmth,80081320907,*,*
mmCamp2,mmth,80081320908,*,*
mmCamp3,mmth,80081320906,*,*
mmCamp1,mmth,80081320910,*,*
mmCamp3,mmp,80081326071,*,*
mmCamp2,mmp,80081326072,*,*
mmCamp1,mmp,80081326073,*,*
mmPutao,mmp,80081326074,*,*
mmZiadam,mmp,80081326075,*,*
mmSaw,mmth,51061220638,*,*
mmKanpetlet,mmth,51061220637,*,*
mmOldLodge,mmth,51061220636,*,*
mmSummit,mmth,51061220639,*,*
mmSaw,mmp,80091225853,*,*
mmKanpetlet,mmp,80091225854,*,*
mmOldLodge,mmp,80091225851,*,*
mmSummit,mmp,80091225852,*,*
mmOldLodge,mmth,80091320923,*,*
mmKanpetlet,mmth,80091320924,*,*
