PlotID;Categories;ECOSYID;FocalPlot;Easting;Northing;Lon;Lat;Installed;Phase01;Phase02;Final;Keyword;LINK
mai2;maize;31;N;327227;9626720;37.44570623;-3.378630853;T-H;none;none;T-H;Basic;NA
mai3;maize;31;N;333718;9625594;37.50410128;-3.388903249;T-H;none;none;T-H;Basic;NA
mai4;maize;31;N;345797;9628644;37.61284344;-3.361477304;T-H;none;none;T-H;Basic;NA
mai5;maize;31;N;352672;9632790;37.67476896;-3.324067604;T-H;none;none;T-H;Basic;NA
cof1;coffee plantation;32;N;305573;9641686;37.25108459;-3.242961766;T-H;none;none;T-H;Basic;NA
cof2;coffee plantation;32;N;307590;9642774;37.2692454;-3.233157989;T-H;none;none;T-H;Basic;NA
cof4;coffee plantation;32;N;313502;9637495;37.32236411;-3.280982945;T-H;none;none;T-H;Basic;NA
cof5;coffee plantation;32;N;329946;9638172;37.47032803;-3.275100875;T-H;none;none;T-H;Basic;NA
fer1;forest Erica;61;N;312061;9658202;37.30969988;-3.09370809;T-H;none;none;T-H;Basic;NA
fer2;forest Erica;61;N;313026;9656689;37.31835685;-3.107398929;T-H;none;none;T-H;Basic;NA
fer3;forest Erica;61;N;313445;9657261;37.3221335;-3.102232595;T-H;none;none;T-H;Basic;NA
fer4;forest Erica;61;N;313015;9656239;37.3182565;-3.111470221;T-H;none;none;T-H;Basic;NA
fer5;forest Erica;61;N;319145;9654406;37.37337149;-3.128131143;T-H;none;none;T-H;Basic;NA
fer6;forest Erica;61;N;310129;9659640;NA;NA;T-H;none;none;T-H;Basic;NA
flm2;forest lower montane;33;N;315813;9645141;37.3432687;-3.211876699;T-H;none;none;T-H;Basic;NA
flm3;forest lower montane;33;N;324104;9639797;37.41801168;-3.26038475;T-H;none;none;T-H;Basic;NA
flm4;forest lower montane;33;N;324373;9640085;37.42020749;-3.257719292;T-H;none;none;T-H;Basic;NA
flm5;forest lower montane;33;N;335340;9643614;37.5189384;-3.22595096;T-H;none;none;T-H;Basic;NA
flm6;forest lower montane;33;N;335431;9643345;37.51975506;-3.228386735;T-H;none;none;T-H;Basic;NA
foc2;forest Ocotea;42;N;304925;9653419;37.24543879;-3.136851541;T-H;none;none;T-H;Basic;NA
foc3;forest Ocotea;42;N;311334;9653087;37.30308457;-3.139955749;T-H;none;none;T-H;Basic;NA
foc4;forest Ocotea;42;N;311584;9653244;37.30534084;-3.138534532;T-H;none;none;T-H;Basic;NA
foc5;forest Ocotea;42;N;317474;9649526;37.35827275;-3.172244156;T-H;none;none;T-H;Basic;NA
foc6;forest Ocotea;42;N;304836.5;9653001;NA;NA;T-H;none;none;T-H;Basic;NA
fod1;forest Ocotea disturbed;43;N;309869;9651843;37.289887;-3.151178436;T-H;none;none;T-H;Basic;NA
fod3;forest Ocotea disturbed;43;N;328179;9644048;37.45451444;-3.221935738;T-H;none;none;T-H;Basic;NA
fod4;forest Ocotea disturbed;43;N;334790;9647183;37.51403702;-3.193669156;T-H;none;none;T-H;Basic;NA
fod5;forest Ocotea disturbed;43;N;335002;9646277;37.51592989;-3.201863048;T-H;none;none;T-H;Basic;NA
fpd1;forest Podocarpus disturbed;45;N;312290;9654677;37.31170784;-3.125587933;T-H;none;none;T-H;Basic;NA
fpd2;forest Podocarpus disturbed;45;Y;318503;9650441;37.3675465;-3.163980928;T-H;none;none;T-H;Basic;NA
fpd3;forest Podocarpus disturbed;45;N;326454;9647593;37.4390391;-3.189846506;T-H;none;none;T-H;Basic;NA
fpd4;forest Podocarpus disturbed;45;N;326593;9647972;37.44029546;-3.186424099;T-H;none;none;T-H;Basic;NA
fpd5;forest Podocarpus disturbed;45;N;335354;9649154;37.51913912;-3.175853396;T-H;none;none;T-H;Basic;NA
fpo1;forest Podocarpus;44;Y;306581;9657102;37.26038652;-3.103577247;T-H;none;none;T-H;Basic;NA
fpo2;forest Podocarpus;44;N;317952;9650233;37.36258568;-3.16585932;T-H;none;none;T-H;Basic;NA
fpo3;forest Podocarpus;44;N;318015;9650704;37.36315732;-3.161600521;T-H;none;none;T-H;Basic;NA
fpo4;forest Podocarpus;44;N;326795;9647180;37.44210038;-3.193589041;T-H;none;none;T-H;Basic;NA
fpo5;forest Podocarpus;44;N;334628;9648821;37.51259698;-3.178855852;T-H;none;none;T-H;Basic;NA
fpo6;forest Podocarpus;44;N;307889;9659354;NA;NA;T-H;none;none;T-H;Basic;NA
gra2;grassland;34;N;328302;9637250;37.45552533;-3.283418496;T-H;none;none;T-H;Basic;NA
gra3;grassland;34;N;333385;9634964;37.50123537;-3.304160602;T-H;none;none;T-H;Basic;NA
gra4;grassland;34;N;333742;9631852;37.50440286;-3.33230911;T-H;none;none;T-H;Basic;NA
gra5;grassland;34;N;346169;9635517;37.616276;-3.299323773;T-H;none;none;T-H;Basic;NA
hel2;Helichrysum;62;N;313698;9658430;37.32442772;-3.091669871;T-H;none;none;T-H;Basic;NA
hel3;Helichrysum;62;N;319484;9655772;37.37644019;-3.115782234;T-H;none;none;T-H;Basic;NA
hel4;Helichrysum;62;N;326722;9657135;37.44158138;-3.103559992;T-H;none;none;T-H;Basic;NA
hel5;Helichrysum;62;N;327537;9657889;37.44892061;-3.0967532;T-H;none;none;T-H;Basic;NA
