PlotID,EP_Plotid,Lon,Lat
S1045,SEG42,13.9688288888,52.8706731952
S1046,SEG43,13.9678274355,52.876577569
S1047,SEG44,13.9651898491,52.8800593338
S1048,SEG45,13.9593929333,52.8814555267
S779,SEG46,13.8263321419,52.9784378063
S801,SEG47,13.827582102,52.9872657751
S995,SEG48,13.6066414018,53.09720511
S1033,SEG49,13.8565786823,52.9747334907
S667,SEG05,14.0005236583,53.1074526576
S1052,SEG50,13.7503876671,53.1217783222
S1012,SEG06,13.6228333298,53.1034952652
S570,SEG07,13.9770687275,53.0883827434
S652,SEG08,14.0170996354,53.1139706829
S990,SEG09,13.6125669145,53.0981819341
S5110,SEW01,13.8463669499,52.9008472902
S5073,SEW10,13.637843132,53.0910959427
S5075,SEW11,13.6337037671,53.0902936541
S5094,SEW12,13.6982632545,53.0883300835
S154,SEW13,13.8639279627,53.0163657036
S5098,SEW14,13.7521735271,52.9179136611
S5102,SEW15,13.7375525556,52.914542078
S260,SEW16,13.8639856255,53.0765831695
S5001,SEW17,13.8274870493,52.9423507679
S5051,SEW18,13.9172479943,52.8624230856
S5070,SEW19,13.6350797244,53.0939848778
S5090,SEW02,13.778028117,52.951728864
S5074,SEW20,13.6353842203,53.0886055083
S5101,SEW21,13.740450917,52.9155883093
S213,SEW22,13.9140747207,53.0601385484
S5089,SEW23,13.7791918682,52.9489729846
S5092,SEW24,13.9671737446,52.8897190116
S5095,SEW25,13.7610957942,52.9209815366
S5100,SEW26,13.7461817871,52.9174012798
S5105,SEW27,14.0010438422,52.8899546096
S5107,SEW28,13.6640414169,52.883956729
S156,SEW29,13.8622360487,53.0172391815
S5112,SEW03,13.6430016042,52.9207074362
S217,SEW30,13.9223631143,53.06213691
S5116,SEW31,13.9033696983,52.8810775398
S292,SEW32,13.9270461979,53.0627722974
S5038,SEW33,13.8874377589,52.9150420243
S5108,SEW34,13.8521470181,52.8958258919
S475,SEW35,13.8534187775,52.9112679466
S5086,SEW36,13.7541425496,52.9513641654
S5091,SEW37,13.7826121483,52.9400215749
S5104,SEW38,13.6707369457,52.8884802265
S384,SEW39,13.8664454739,52.9247557336
S467,SEW04,13.8473113725,52.9173466307
S391,SEW40,13.8623651461,52.9147687623
S397,SEW41,13.9099253483,52.9122938399
S414,SEW42,13.9145343372,52.9027475084
S421,SEW43,13.9283255647,52.9009765233
S488,SEW44,13.859220603,52.9184590159
S353,SEW45,13.8378888408,53.0454545169
S5060,SEW46,13.7774439698,53.0721224497
S5063,SEW47,13.7713654294,53.0712780629
S360,SEW48,13.8449953984,53.0512659201
S438,SEW49,13.8912306282,52.885260427
S219,SEW05,13.8853662276,53.0570335601
S5117,SEW50,13.7870431421,53.039528434
S5111,SEW06,13.8416880472,52.907442793
S5106,SEW07,13.6944189332,53.1073480195
S5113,SEW08,13.9303378591,53.1917971616
S5114,SEW09,13.8101029479,53.044586875
